scientific.name,common.name,iconic.taxon.name,observed.on,place.guess,latitude,longitude,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118557302,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.3656489,-68.2081032,NA,NA,NA,NA,https://ebird.org/checklist/S118559570,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-11,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118523112,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-11,NA,44.3775634,-68.2286766,NA,NA,NA,NA,https://ebird.org/checklist/S118533888,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-11,NA,44.2959643,-68.2408261,NA,NA,NA,NA,https://ebird.org/checklist/S118524480,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-11,NA,44.3766313,-68.2511902,NA,NA,NA,NA,https://ebird.org/checklist/S118520221,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118461873,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-10,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118455047,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-10,NA,44.3669684,-68.2070087,NA,NA,NA,NA,https://ebird.org/checklist/S118436239,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-10,NA,44.3863961,-68.2543874,NA,NA,NA,NA,https://ebird.org/checklist/S118440682,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-10,NA,44.36181,-68.2079691,NA,NA,NA,NA,https://ebird.org/checklist/S118450943,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-09,NA,44.375481,-68.1922996,NA,NA,NA,NA,https://ebird.org/checklist/S118436259,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-09,NA,44.302749,-68.202823,NA,NA,NA,NA,https://ebird.org/checklist/S118394835,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-09,NA,44.302702,-68.202841,NA,NA,NA,NA,https://ebird.org/checklist/S118467328,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-09,NA,44.3500922,-68.0540156,NA,NA,NA,NA,https://ebird.org/checklist/S118393161,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-09,NA,44.3324746,-68.0603456,NA,NA,NA,NA,https://ebird.org/checklist/S118393097,NA
